version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,artifacts/system_prompt.md,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,baseline measurement for v0,establish baseline metrics and tool routing behavior,case_accuracy,,0.65,v0_B_base_openai_20260729T152130070781.json
v1,team,artifacts/system_prompt.md,v1+p1908e2d47df9+t6cdb53d5d7b8,1908e2d47df9eb42f492cf2cb51dcfd4556fa6c7fd7754f5eddd77cf45888434,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,refined prompt to improve tool routing and argument selection,clearer routing guidance and arg schema examples should raise case_accuracy,case_accuracy,0.65,0.8,v1_B_base_openai_20260729T152724650456.json
v2,team,artifacts/system_prompt.md,v2+p79a7dfd9e630+t6cdb53d5d7b8,79a7dfd9e630dc8ce49befe871eadbd15a40ceed430f54e8ec3e983503c99c77,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,adjusted prompt to reduce unnecessary clarification and preserve direct tool calls,encourage the model to use timeline/social_search/lookup directly unless user explicitly asks for clarification,case_accuracy,0.8,0.8,v2_B_base_openai_20260729T160403944371.json
v3,team,artifacts/tools.yaml+artifacts/system_prompt.md,v3+p16d45827fcb6+t82cea1ca3a59,16d45827fcb6c9847224ce1227d0ea418d1c1d205f8cc6a06b6502be9c907816,82cea1ca3a593d28eeca3dd8f009d4d2aa871ec2e3aa207fa887f33072dd5589,fixed tool schema and prompt wording to resolve title/arg mismatch and improve routing,aligned tools declaration with prompt examples and reduced ambiguous arg names,case_accuracy,0.8,0.95,v3_B_base_openai_20260729T162150471138.json
